file,orientation,process,printer_xyz,pred_support_mm3,pred_overhang_pct,pred_score,pred_grade,cura_len_no_support_m,cura_len_with_support_m,cura_time_no_support_min,cura_time_with_support_min,note
NIST_Test_Artifact_online__posZ.stl,#NAME?,FDM,300x300x340,,,,불가,16.32,16.42,,,하드 게이트 위반: 최소 벽두께
NIST_Test_Artifact_online__negZ.stl,#NAME?,FDM,300x300x340,,,,불가,16.29,21.96,,,하드 게이트 위반: 최소 벽두께
NIST_Test_Artifact_online__posX.stl,#NAME?,FDM,300x300x340,,,,불가,16.19,26.69,,,하드 게이트 위반: 최소 벽두께
NIST_Test_Artifact_online__negX.stl,#NAME?,FDM,300x300x340,,,,불가,16.21,26.53,,,하드 게이트 위반: 최소 벽두께
NIST_Test_Artifact_online__posY.stl,#NAME?,FDM,300x300x340,,,,불가,16.17,26.85,,,하드 게이트 위반: 최소 벽두께
NIST_Test_Artifact_online__negY.stl,#NAME?,FDM,300x300x340,,,,불가,16.16,26.03,,,하드 게이트 위반: 최소 벽두께
sample_good__posZ.stl,#NAME?,FDM,300x300x340,0,0,100,A,3.37,3.37,,,
sample_good__negZ.stl,#NAME?,FDM,300x300x340,0,0,100,A,3.37,3.37,,,
sample_good__posX.stl,#NAME?,FDM,300x300x340,0,0,100,A,3.36,3.36,,,
sample_good__negX.stl,#NAME?,FDM,300x300x340,0,0,100,A,3.36,3.36,,,
sample_good__posY.stl,#NAME?,FDM,300x300x340,0,0,100,A,3.36,3.36,,,
sample_good__negY.stl,#NAME?,FDM,300x300x340,0,0,100,A,3.36,3.36,,,
sample_bad__posZ.stl,#NAME?,FDM,300x300x340,6932.7,44.36,51.1,F,4.85,8.89,,,
sample_bad__negZ.stl,#NAME?,FDM,300x300x340,44682.9,44.5,39.9,F,4.85,27.42,,,
sample_bad__posX.stl,#NAME?,FDM,300x300x340,2112.1,1.78,85.3,B,4.79,7.1,,,
sample_bad__negX.stl,#NAME?,FDM,300x300x340,584.7,1.78,85.3,B,4.79,5.49,,,
sample_bad__posY.stl,#NAME?,FDM,300x300x340,1547.4,1.9,85.3,B,4.79,6.56,,,
sample_bad__negY.stl,#NAME?,FDM,300x300x340,529.2,1.9,85.3,B,4.79,5.47,,,
sample_moderate__posZ.stl,#NAME?,FDM,300x300x340,11081.3,20.44,84.6,B,4.86,10.47,,,
sample_moderate__negZ.stl,#NAME?,FDM,300x300x340,216.7,0.82,100,A,4.86,5.13,,,
sample_moderate__posX.stl,#NAME?,FDM,300x300x340,270.2,0.82,100,A,4.82,5.17,,,
sample_moderate__negX.stl,#NAME?,FDM,300x300x340,270.2,0.82,100,A,4.82,5.16,,,
sample_moderate__posY.stl,#NAME?,FDM,300x300x340,1154.7,20.55,94.5,A,4.85,5.64,,,
sample_moderate__negY.stl,#NAME?,FDM,300x300x340,10919.7,19.62,85.7,B,4.85,10.57,,,
