file,orientation,process,printer_xyz,pred_support_mm3,pred_overhang_pct,pred_score,pred_grade,cura_len_no_support_m,cura_len_with_support_m,cura_time_no_support_min,cura_time_with_support_min,note
NIST_Test_Artifact_online__posZ.stl,posZ,FDM,300x300x340,180.9,0.45,,불가,16.32,16.42,,,하드 게이트 위반: 최소 벽두께
NIST_Test_Artifact_online__negZ.stl,negZ,FDM,300x300x340,14792,33.23,,불가,16.29,21.96,,,하드 게이트 위반: 최소 벽두께
NIST_Test_Artifact_online__posX.stl,posX,FDM,300x300x340,21608,5.77,,불가,16.19,26.69,,,하드 게이트 위반: 최소 벽두께
NIST_Test_Artifact_online__negX.stl,negX,FDM,300x300x340,26928.8,5.28,,불가,16.21,26.53,,,하드 게이트 위반: 최소 벽두께
NIST_Test_Artifact_online__posY.stl,posY,FDM,300x300x340,18918.7,4.85,,불가,16.17,26.85,,,하드 게이트 위반: 최소 벽두께
NIST_Test_Artifact_online__negY.stl,negY,FDM,300x300x340,28231.9,5.98,,불가,16.16,26.03,,,하드 게이트 위반: 최소 벽두께
sample_good__posZ.stl,posZ,FDM,300x300x340,0,0,100,A,3.37,3.37,,,
sample_good__negZ.stl,negZ,FDM,300x300x340,0,0,100,A,3.37,3.37,,,
sample_good__posX.stl,posX,FDM,300x300x340,0,0,100,A,3.36,3.36,,,
sample_good__negX.stl,negX,FDM,300x300x340,0,0,100,A,3.36,3.36,,,
sample_good__posY.stl,posY,FDM,300x300x340,0,0,100,A,3.36,3.36,,,
sample_good__negY.stl,negY,FDM,300x300x340,0,0,100,A,3.36,3.36,,,
sample_bad__posZ.stl,posZ,FDM,300x300x340,8526,44.36,48.2,F,4.85,8.89,,,
sample_bad__negZ.stl,negZ,FDM,300x300x340,54190.6,44.5,39.9,F,4.85,27.42,,,
sample_bad__posX.stl,posX,FDM,300x300x340,5304.1,1.78,78,C,4.79,7.1,,,
sample_bad__negX.stl,negX,FDM,300x300x340,1577,1.78,85.3,B,4.79,5.49,,,
sample_bad__posY.stl,posY,FDM,300x300x340,3992.5,1.9,82.7,B,4.79,6.56,,,
sample_bad__negY.stl,negY,FDM,300x300x340,1507.8,1.9,85.3,B,4.79,5.47,,,
sample_moderate__posZ.stl,posZ,FDM,300x300x340,14071.2,20.44,80.8,B,4.86,10.47,,,
sample_moderate__negZ.stl,negZ,FDM,300x300x340,531.8,0.82,100,A,4.86,5.13,,,
sample_moderate__posX.stl,posX,FDM,300x300x340,663,0.82,100,A,4.82,5.17,,,
sample_moderate__negX.stl,negX,FDM,300x300x340,663,0.82,100,A,4.82,5.16,,,
sample_moderate__posY.stl,posY,FDM,300x300x340,1508,20.55,94.5,A,4.85,5.64,,,
sample_moderate__negY.stl,negY,FDM,300x300x340,14724.1,19.62,81,B,4.85,10.57,,,
