"Symbol";"Value";"Unit";
"REFERENCE";"H204-6.3-UF31-225-GA65";"";
"TraceParts.PartVersion";"1.2.8";"";
"SUPPLIER";"Boneng Transmission Co.,Ltd.";"";
"TraceParts.PartStatus";"Published";"";
"DESIGN";"Flange H204-6.3-UF31-225-GA65";"";
"TraceParts.PartNumber";"50-10042015-108074";"";
"TraceParts.PartLanguage";"en";"";
"OMNICLASS23";"23.27.35.15.13";"";
"TraceParts.InstanceId";"50-10042015-108074B1LLMQGFIRE837BCKQLDEJ583";"";
"TraceParts.PartTitle";"Flange input(code:UF31)";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartStatusId";"";"";
"TraceParts.ClassPath";"";"";
