"Symbol";"Value";"Unit";
"REFERENCE";"UF21-H204-6.3";"";
"TraceParts.PartVersion";"1.2.0";"";
"SUPPLIER";"Boneng Transmission Co.,Ltd.";"";
"TraceParts.PartStatus";"Published";"";
"DESIGN";"Cooling fan UF21-H204-6.3";"";
"TraceParts.PartNumber";"50-26032015-075648";"";
"TraceParts.PartLanguage";"en";"";
"OMNICLASS23";"23.27.35.15.13";"";
"TraceParts.InstanceId";"50-26032015-0756487BIP5KWK239SRZ21RWA2JX3GO";"";
"TraceParts.PartTitle";"Cooling fan(code:UF21)";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartStatusId";"";"";
"TraceParts.ClassPath";"";"";
