"Symbol";"Value";"Unit";
"REFERENCE";"B204HS A-6.3";"";
"TraceParts.PartVersion";"1.2.9";"";
"SUPPLIER";"Boneng Transmission Co.,Ltd.";"";
"TraceParts.PartStatus";"Published";"";
"DESIGN";"Heavy Duty Gear Units-B series B204HS A-6.3";"";
"TraceParts.PartNumber";"50-19032015-080147";"";
"TraceParts.PartLanguage";"en";"";
"OMNICLASS23";"23.27.35.15.13";"";
"TraceParts.InstanceId";"50-19032015-080147AJWZFY832RCO1LT47QMF0P6ER";"";
"TraceParts.PartTitle";"Heavy Duty Gear Units-B series";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartStatusId";"";"";
"TraceParts.ClassPath";"";"";
