"Symbol";"Value";"Unit";
"sf";"2";"";
"REFERENCE";"E 00300 010 A";"";
"TraceParts.PartVersion";"1.0.6";"";
"lmin";"40";"";
"TraceParts.PartLanguage";"en";"";
"s";"2,01";"";
"TraceParts.PartNumber";"90-17022021-051485";"";
"v";"6,25";"";
"w";"0,21";"";
"pmin";"20";"";
"DESIGN";"Gas Spring - E 00300 010 A, min height, max force";"";
"pmax";"150";"";
"TraceParts.PartTitle";"E 00300";"";
"l";"50";"";
"SUPPLIER";"ALFAMAK";"";
"st";"10";"";
"f1is";"478";"";
"f0";"300";"";
"d";"32";"";
"TRACEPARTS";"TRACEPARTS";"";
"f1ps";"557";"";
"TraceParts.InstanceId";"90-17022021-051485D2AJ7X87PSSLOQGE4X1Q1YP5B";"";
"dd";"16";"";
