"Symbol";"Value";"Unit";
"REFERENCE";"900-602";"";
"TraceParts.PartVersion";"1.0.0";"";
"SUPPLIER";"ARCANE";"";
"TraceParts.PartStatus";"Published";"";
"DESIGN";"PROFILÉ ALUMINIUM 30×30 900-602";"";
"MOMENT_INERTIE_LY";"2.85 Cm4";"";
"MOMENT_INERTIE_LX";"2.85 Cm4";"";
"TraceParts.PartNumber";"10-11052021-102917";"";
"TraceParts.PartLanguage";"fr";"";
"OMNICLASS23";"23.13.17.00";"";
"TraceParts.InstanceId";"10-11052021-102917AAWM4P05VSVEXIEZRJAHQPERA";"";
"TraceParts.PartTitle";"PROFILÉ ALUMINIUM 30×30";"";
"MASSE_LINEIQUE";"0.85 Kg/m";"";
"TraceParts.PartStatusId";"";"";
"CONDITIONNEMENT";"En barre de 6 mètres et par lot de 12 barres";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.ClassPath";"";"";
